,Name,Latitude,Longitude,High Temp,Humidity,Clouds,Wind Speed
80,Mar del Plata,-46.43,-67.52,39.48,63,0,18.05
81,Lagoa,37.14,-8.45,71.6,73,0,5.82
82,Palmer,61.6,-149.11,62.96,62,1,3.36
83,Opuwo,-18.06,13.84,71.97,35,100,5.97
84,Chokurdakh,70.62,147.9,36.42,94,92,18.61
85,Shizuishan,39.02,106.36,54.33,25,12,2.73
86,Clyde River,70.47,-68.59,26.6,86,90,13.87
87,Ketchikan,55.34,-131.65,62.06,5,1,9.17
88,Noumea,-22.28,166.46,84.2,48,75,6.93
89,Woodstock,43.13,-80.75,48.2,81,90,5.82
90,Bredasdorp,-34.53,20.04,48.2,93,0,5.82
91,Beringovskiy,63.05,179.32,48.48,96,92,19.06
92,Vilyuysk,63.75,121.63,42.9,94,88,3.62
93,Victoria,5.28,115.24,86.0,74,90,4.7
94,Pucara,-21.7,-64.2,64.23,60,0,0.6
95,Gladstone,-23.84,151.26,79.26,60,24,10.56
96,Robertsport,6.75,-11.37,77.01,100,76,10.11
97,Thinadhoo,0.53,72.93,82.59,100,92,14.81
98,Carnarvon,-30.97,22.13,44.61,14,0,9.22
99,Bluff,-23.58,149.07,86.55,34,0,10.11
100,Nikolskoye,59.7,30.79,42.8,81,75,17.9
101,Jamestown,-33.21,138.6,64.68,30,64,15.03
102,Verkhnevilyuysk,63.45,120.31,45.42,89,76,3.51
103,Las Vegas,36.17,-115.15,91.94,16,1,11.41
104,Olinda,-2.03,-79.75,75.2,73,40,14.99
105,Hammerfest,70.66,23.68,39.2,100,68,14.99
106,Adwa,14.16,38.9,47.22,78,0,2.39
107,Talnakh,69.49,88.39,40.92,95,92,15.48
108,Dikson,73.51,80.55,42.09,85,92,20.07
109,Hasaki,35.73,140.83,71.6,94,75,4.7
110,Esperance,10.24,-61.45,78.8,88,20,5.82
111,Bridgwater,51.13,-3.0,50.0,87,75,9.17
112,Nioro,13.79,-15.05,75.12,95,80,2.39
113,Port Hardy,50.7,-127.42,59.0,58,75,3.36
114,Dashitou,43.3,128.5,54.51,95,76,3.62
115,Lata,30.78,78.62,58.2,80,0,1.95
116,Boa Vista,2.82,-60.67,82.4,69,0,6.93
117,Evensk,61.92,159.24,42.27,100,56,7.09
118,Port Elizabeth,39.31,-74.98,64.04,93,1,6.98
119,Arlit,18.74,7.39,72.42,30,20,2.73
120,Ponta do Sol,-20.63,-46.0,69.45,78,64,6.53
121,Belmonte,40.36,-7.35,53.97,80,8,3.06
122,Dudinka,69.41,86.18,42.0,99,92,13.47
123,Port Augusta,-32.49,137.76,69.8,26,68,9.17
124,Castro,-42.48,-73.76,37.23,100,76,7.43
125,Hermanus,-34.42,19.24,42.45,77,0,2.39
126,Guerrero Negro,27.97,-114.04,73.95,76,20,4.74
127,Fairview,40.81,-74.0,66.02,62,1,6.98
128,Sitges,41.24,1.82,68.0,72,20,8.05
129,Chernukha,55.6,43.76,38.85,89,80,6.42
130,Oga,8.18,5.65,75.66,86,64,6.08
131,Saldanha,41.42,-6.55,56.58,81,20,2.95
132,Cananeia,-25.01,-47.93,70.62,100,92,6.42
133,Lebu,8.96,38.73,57.2,62,75,4.7
134,La Ronge,55.1,-105.3,28.4,58,75,10.29
135,Ahipara,-35.17,173.16,61.17,69,64,13.02
136,Coquimbo,-29.95,-71.34,55.4,87,0,4.7
137,Kaeo,-35.1,173.78,62.52,52,32,12.8
138,Manaure,11.78,-72.45,82.32,99,76,16.26
139,Southbridge,42.08,-72.03,57.92,86,1,5.82
140,Grand Gaube,-20.01,57.66,69.8,88,40,10.29
141,Coihaique,-45.58,-72.07,30.2,92,90,5.82
142,Kampong Cham,11.99,105.46,77.91,100,80,6.64
143,Sawtell,-30.38,153.1,64.4,59,75,14.99
144,Chute-aux-Outardes,49.12,-68.38,41.0,74,1,5.82
145,Dunedin,-45.87,170.5,50.37,93,24,4.41
146,Longyearbyen,78.22,15.63,17.6,78,20,3.36
147,Erenhot,43.65,111.97,50.1,70,68,18.61
148,Seymchan,62.93,152.39,33.99,98,92,11.68
149,Shiyan,32.65,110.78,68.82,55,64,3.4
150,Puerto Escondido,15.86,-97.07,82.4,69,75,5.82
151,Cockburn Town,21.46,-71.14,83.85,96,76,19.84
152,Antofagasta,-23.65,-70.4,59.0,77,90,5.82
153,Awjilah,29.14,21.3,60.81,61,0,1.5
154,Luderitz,-26.65,15.16,59.01,80,0,1.5
155,Bambous Virieux,-20.34,57.76,69.8,88,40,10.29
156,Tateyama,36.66,137.31,68.0,82,75,3.36
157,Sept-Iles,50.2,-66.38,30.2,80,5,5.82
158,Mandalgovi,45.76,106.27,41.55,82,0,10.11
159,Hobart,-42.88,147.33,64.4,36,20,13.87
160,Lorengau,-2.02,147.27,85.2,96,32,12.68
161,Severo-Yeniseyskiy,60.37,93.04,44.16,78,92,8.43
162,Kodiak,39.95,-94.76,57.02,96,90,5.82
163,Tiksi,71.64,128.87,33.9,96,88,7.09
164,Saulkrasti,57.26,24.42,48.2,81,0,12.75
165,Buin,-33.73,-70.74,51.8,76,75,8.05
166,Nome,30.04,-94.42,75.92,91,75,4.7
167,Husavik,50.56,-96.99,41.28,82,92,8.55
168,Aklavik,68.22,-135.01,28.4,86,75,5.82
169,Koboko,3.41,30.96,63.33,99,48,2.95
170,Bani,15.89,120.27,82.5,89,48,5.08
171,Hay River,60.82,-115.79,33.8,64,75,5.82
172,Lalibela,12.04,39.05,38.31,80,8,1.95
173,Saint-Philippe,45.36,-73.48,53.6,81,90,5.82
174,Maicao,11.38,-72.24,76.02,100,32,5.75
175,Pimentel,-3.7,-45.5,81.51,67,24,7.65
176,Alpena,45.06,-83.43,44.06,77,90,3.36
177,San Cristobal,-0.39,-78.55,55.4,76,75,14.99
178,Hilo,19.71,-155.08,84.02,71,40,8.05
179,Khrebtovaya,56.71,104.25,48.93,69,56,5.19
180,Pacasmayo,-7.4,-79.57,62.43,97,12,9.78
181,Butaritari,3.07,172.79,85.38,100,8,7.2
182,Narsaq,60.91,-46.05,44.6,48,92,31.09
183,Itarema,-2.92,-39.92,76.38,91,80,14.14
184,Mount Isa,-20.73,139.49,91.4,15,0,11.41
185,Kampot,10.62,104.18,81.33,92,68,4.41
186,Port Pirie,-33.18,138.01,69.8,26,80,9.17
187,Sesheke,-17.47,24.29,74.22,33,0,14.81
188,Linkou,45.29,130.27,57.3,96,88,2.95
189,Yerbogachen,61.28,108.01,47.67,69,0,5.64
190,Katsuura,33.93,134.5,78.8,94,75,28.86
191,Jalingo,10.21,12.82,67.47,90,0,3.62
192,San Andres,13.32,122.68,82.95,100,48,6.08
193,Cidreira,-30.17,-50.22,71.88,78,8,12.46
194,La Rioja,-29.41,-66.86,66.75,48,0,2.51
195,Upernavik,72.79,-56.15,35.34,100,80,12.01
196,Nizwa,22.93,57.53,67.29,67,0,1.61
197,Vaini,15.34,74.49,76.29,90,24,3.51
198,Santa Isabel do Rio Negro,-0.41,-65.02,77.73,92,64,2.17
199,Nanortalik,60.14,-45.24,35.61,100,92,27.78
200,West Richland,46.3,-119.35,66.92,30,75,12.75
201,Dolzhanskaya,46.63,37.8,59.64,100,48,12.46
202,Nishihara,35.74,139.53,71.6,80,75,2.95
203,Isangel,-19.55,169.27,73.59,100,92,20.07
204,Georgetown,6.8,-58.16,77.0,94,0,4.7
205,Neiafu,-18.65,-173.98,77.0,73,75,11.41
206,Kaitangata,-46.28,169.85,54.15,87,48,6.08
207,Curup,-3.47,102.53,79.89,70,8,2.17
208,Namatanai,-3.66,152.44,85.92,90,0,6.64
209,Kampene,-3.59,26.67,69.54,89,24,2.06
210,Kavaratti,10.57,72.64,81.69,100,12,6.42
211,North Bend,43.41,-124.22,60.98,80,90,3.36
212,Puerto Ayora,-0.74,-90.35,70.44,100,48,10.45
213,Norman Wells,65.28,-126.83,33.8,69,20,5.82
214,Agadir,30.42,-9.58,69.8,60,0,8.05
215,Omsukchan,62.53,155.8,34.17,95,92,3.51
216,Praia da Vitoria,38.73,-27.07,68.0,88,75,21.52
217,Tokur,53.13,132.9,44.25,53,0,3.18
218,Okhotsk,59.36,143.24,45.78,78,44,10.22
219,Arman,59.7,150.17,48.2,57,90,2.24
220,Warrnambool,-38.38,142.48,57.48,91,8,4.97
221,Mirante do Paranapanema,-22.29,-51.91,77.0,65,0,3.36
222,Cayenne,4.94,-52.33,77.0,100,0,4.7
223,Ligayan,4.65,119.47,84.57,100,0,4.18
224,Tenabo,20.04,-90.23,77.0,94,75,5.82
225,Shiraz,29.61,52.54,55.4,50,0,2.62
226,LOS ALGARROBOS,-3.25,-79.94,89.6,33,90,5.82
227,Fortuna,38.18,-1.13,62.6,93,0,3.36
228,Grindavik,63.84,-22.43,37.4,80,20,6.93
229,Najran,17.54,44.22,69.8,26,0,3.74
230,Khatanga,71.98,102.47,45.6,93,20,14.25
231,Aksu,52.04,76.93,42.8,87,0,4.47
232,Lavrentiya,65.58,-170.99,47.04,89,92,23.53
233,Golspie,57.97,-3.98,46.4,75,75,16.11
234,Carballo,43.21,-8.69,62.6,93,90,2.51
235,Tynda,55.15,124.74,48.75,46,0,5.75
236,Basi,7.97,3.8,74.58,95,100,4.18
237,Walvis Bay,-22.95,14.51,55.4,87,0,9.17
238,Mahon,51.89,-8.4,48.2,81,75,4.7
239,Bethel,60.79,-161.76,66.02,50,75,6.93
240,Manali,32.25,77.19,21.03,66,0,0.94
241,Makokou,0.56,12.85,70.98,98,92,2.51
242,Gualeguay,-33.15,-59.31,57.3,93,0,6.42
243,Banyo,6.75,11.81,61.35,97,68,3.06
244,Pevek,69.7,170.27,51.18,77,64,8.66
245,Tuatapere,-46.13,167.69,53.79,89,0,5.08
246,Tuktoyaktuk,69.44,-133.03,26.6,86,75,2.24
247,Hofn,64.25,-15.21,39.03,100,8,27.56
248,Boguchar,49.93,40.55,43.89,95,92,11.12
249,Bandarbeyla,9.49,50.81,77.1,98,12,16.04
250,Quatre Cocos,-20.21,57.76,69.8,88,40,10.29
251,Snasa,64.25,12.38,38.58,100,92,7.76
252,San Patricio,-26.98,-56.83,80.97,63,32,5.41
253,Alamosa,37.47,-105.87,57.92,7,1,9.17
254,Ahuimanu,21.44,-157.84,87.98,84,20,9.17
255,Vaitape,-16.52,-151.75,77.64,100,0,6.53
256,Marsabit,2.34,37.99,70.08,72,8,14.58
257,Half Moon Bay,37.46,-122.43,69.98,67,75,8.05
258,Khani,41.96,42.96,57.2,87,0,8.05
259,Bose,45.46,8.01,57.2,71,0,4.7
260,Kokopo,-4.34,152.27,85.02,89,0,5.75
261,Kuytun,54.34,101.51,51.99,72,64,4.18
262,Sai Buri,6.7,101.62,87.8,74,20,4.7
263,Kaspiysk,42.88,47.64,55.4,82,0,6.71
264,Asekeyevo,53.57,52.8,50.01,96,92,8.21
265,Nabire,-3.36,135.5,81.24,75,36,2.62
266,Fulton,43.32,-76.42,50.0,85,20,4.97
267,Yarkovo,54.81,82.6,51.8,57,0,13.42
268,Ostrov,57.34,28.36,42.8,75,64,13.42
269,Soyo,-6.13,12.37,71.25,98,12,3.06
270,Saint Helens,45.86,-122.81,62.06,93,75,3.36
271,Sagua la Grande,22.81,-80.07,77.0,88,40,4.7
272,Baghdad,33.3,44.38,71.6,43,0,3.36
273,Souillac,45.6,-0.6,53.6,71,0,3.36
274,Torbay,47.66,-52.73,60.8,100,90,9.17
275,Nantucket,41.28,-70.1,62.06,86,90,3.36
276,Dakar,14.69,-17.45,80.43,100,0,6.64
277,Inirida,3.87,-67.92,76.2,94,20,2.62
278,Great Yarmouth,52.61,1.73,41.0,93,8,5.82
279,Dalnerechensk,45.93,133.72,62.97,85,76,4.07
280,Jalu,29.03,21.55,63.24,43,12,2.51
281,Anloga,5.79,0.9,78.8,88,20,8.05
282,Codrington,-28.95,153.24,58.02,100,100,5.64
283,Kiama,-34.67,150.86,62.6,48,0,6.93
284,Yarega,63.43,53.58,37.05,96,80,4.07
285,Taltal,-25.41,-70.49,52.35,95,0,2.06
286,Alyangula,-13.85,136.42,83.67,80,0,17.72
287,San Jeronimo,-13.65,-73.37,44.52,72,12,2.06
288,Sampit,-2.54,112.95,88.17,76,0,7.99
289,Galveston,40.58,-86.19,59.0,73,90,6.53
290,Port Macquarie,-31.43,152.91,66.2,34,75,10.29
291,Tautira,-17.73,-149.15,80.6,65,75,16.11
292,Vieste,41.88,16.18,69.9,100,88,9.44
293,Riverton,43.02,-108.38,46.94,68,1,11.41
294,Avera,33.19,-82.53,77.0,97,1,4.74
295,Vostok,46.45,135.83,54.51,93,44,2.62
296,Xai-Xai,-25.04,33.64,69.63,95,32,19.62
297,Roros,62.57,11.38,33.8,80,56,3.36
298,Komsomolskiy,67.55,63.78,36.42,93,68,21.07
299,Tura,25.52,90.21,80.25,94,24,3.74
300,Bundaberg,-24.87,152.35,71.97,92,48,18.84
301,Lokoja,7.8,6.74,75.57,89,32,3.62
302,Partenit,44.58,34.34,59.01,100,48,7.43
303,Alta Floresta,-9.87,-56.08,74.85,96,12,1.61
304,Bambanglipuro,-7.95,110.28,85.83,57,8,5.19
305,Bayir,37.27,28.22,69.8,88,75,5.82
306,Denpasar,-8.65,115.22,84.2,74,20,11.41
307,Hirara,24.8,125.28,82.4,58,20,19.46
308,Adrar,27.87,-0.29,71.6,33,0,8.05
309,Aden,12.79,45.03,82.86,100,88,15.59
310,Albacete,39.0,-1.86,57.2,87,0,4.7
311,Atar,20.52,-13.05,71.25,76,0,3.06
312,Skjervoy,70.03,20.97,41.73,100,68,9.1
313,Alexandria,31.31,-92.44,73.94,91,90,5.64
314,Torrington,42.06,-104.18,48.92,79,1,8.05
315,Luxor,25.7,32.65,87.8,29,0,2.39
316,Nouadhibou,20.93,-17.03,71.88,93,0,11.79
317,Fort Morgan,40.25,-103.8,60.98,53,0,14.99
318,Vanavara,60.35,102.28,43.35,76,0,5.53
319,Yelizovo,53.19,158.38,57.2,52,0,17.9
320,San Carlos de Bariloche,-41.13,-71.31,33.8,86,90,21.92
321,Acajutla,13.59,-89.83,73.5,95,100,3.74
322,Katherine,-14.47,132.26,95.0,15,0,23.04
323,Moron,10.49,-68.2,72.06,87,32,2.17
324,Aketi,2.74,23.78,71.43,96,24,2.06
325,Port Hedland,-20.31,118.58,89.6,22,20,20.8
326,Tulum,20.21,-87.46,82.4,83,40,6.93
327,Pundaguitan,6.37,126.17,84.03,98,0,3.4
328,Flinders,-34.58,150.85,62.6,48,0,6.93
329,Atasu,48.68,71.64,45.6,56,0,5.97
330,Westport,53.8,-9.52,48.75,100,80,11.01
331,Eenhana,-17.48,16.34,76.2,27,0,12.46
332,Shache,38.42,77.24,59.28,47,76,2.51
333,Tornio,61.12,27.27,46.4,93,90,8.05
334,Saskylakh,71.97,114.09,32.55,100,80,12.8
335,Quixeramobim,-5.2,-39.3,80.43,65,24,12.24
336,Pangoa,-12.12,-73.0,63.87,95,8,1.95
337,Nisia Floresta,-6.09,-35.21,78.8,74,75,13.87
338,Richards Bay,-28.77,32.06,60.9,94,36,2.06
339,Cap Malheureux,-19.98,57.61,69.8,88,40,10.29
340,Kakching,24.5,93.98,75.2,88,75,1.05
341,Xiaoweizhai,26.23,107.51,69.9,59,0,5.08
342,Chisindia,46.29,22.1,44.6,81,88,3.36
343,Mizdah,31.45,12.98,50.37,79,0,1.72
344,Atyrau,47.1,51.92,53.6,62,0,8.95
345,Sedlcany,49.66,14.43,41.0,69,0,5.82
346,Daru,7.99,-10.85,69.63,100,92,4.41
347,Leh,34.16,77.58,14.28,71,20,0.16
348,Winsum,53.33,6.52,53.6,93,80,2.24
349,Arcachon,44.65,-1.18,51.8,93,0,1.12
350,Sangar,63.92,127.47,41.28,51,0,3.18
351,Rocha,-34.48,-54.34,64.77,98,80,8.55
352,Bagdarin,54.44,113.59,49.2,64,0,3.51
353,Russell,-33.01,-68.8,60.8,59,0,2.24
354,Tagasilay,7.3,122.25,87.8,66,20,6.93
355,Saint-Augustin,44.83,-0.61,51.8,81,0,2.24
356,Kalianget,-7.74,113.68,86.55,69,0,2.17
357,Along,28.17,94.8,74.13,79,24,1.72
358,Natal,-5.81,-35.21,78.8,74,75,13.87
359,Prainha,-1.8,-53.48,82.5,68,20,4.97
360,Flin Flon,54.77,-101.88,34.62,87,44,12.12
361,Cabo San Lucas,22.89,-109.91,80.6,88,40,3.36
362,Taitung,22.76,121.15,80.6,74,75,3.36
363,Ndola,-12.97,28.64,68.1,49,0,15.59
364,Borogontsy,62.67,131.17,39.12,44,0,5.08
365,Teguldet,57.31,88.17,51.54,50,44,11.56
366,Mobaye,4.33,21.18,68.82,99,88,3.18
367,Santa Cruz,36.97,-122.03,69.98,77,1,6.93
368,Urbano Santos,-3.2,-43.39,77.73,84,12,12.57
369,Bubaque,11.28,-15.83,80.52,100,56,8.43
370,Newtownards,54.59,-5.69,50.0,81,32,9.17
371,Hirado,33.32,129.49,69.8,94,75,33.33
372,Seddon,-41.67,174.07,57.57,76,76,12.57
373,Puerto Carreno,6.19,-67.49,70.71,94,8,2.51
374,Touros,-5.2,-35.46,76.92,90,88,13.8
375,Salina Cruz,16.18,-95.2,81.33,64,0,13.13
376,Takaungu,-3.68,39.86,70.62,95,92,8.43
377,Sioux Lookout,50.1,-91.92,39.2,64,90,4.7
378,Jalalabad,34.43,70.46,70.16,69,1,2.24
379,Katobu,-4.94,122.53,83.85,83,80,5.19
380,Versalles,4.58,-76.2,71.6,93,64,0.49
381,Pisco,-13.71,-76.2,62.6,82,0,13.87
382,Haines Junction,60.75,-137.51,34.62,67,0,2.06
383,Clarence Town,-32.59,151.78,62.6,59,90,14.99
384,Merauke,-8.49,140.4,88.71,58,8,13.24
385,Afyonkarahisar,38.76,30.53,45.78,85,44,2.73
386,Egvekinot,66.32,-179.17,48.03,98,92,9.22
387,Trairi,-3.28,-39.27,78.99,100,92,19.84
388,Cugir,45.84,23.37,44.6,93,75,1.12
389,Islamkot,24.7,70.18,78.27,81,0,6.53
390,Zinder,13.81,8.99,72.6,79,0,2.73
391,Beyneu,45.32,55.19,58.74,51,20,8.1
392,Kununurra,-15.77,128.74,95.0,26,0,13.87
393,Marienburg,52.12,9.98,48.2,70,0,3.36
394,Krasnokholm,51.6,54.16,52.71,71,36,10.67
395,Leningradskiy,69.38,178.42,44.88,82,64,22.86
396,Uray,60.13,64.8,41.64,87,24,9.22
397,Aldama,22.92,-98.09,82.23,98,48,10.11
398,Ausa,18.25,76.5,79.17,83,0,4.41
399,Aswan,24.09,32.9,83.58,35,12,10.56
400,Yar-Sale,66.83,70.83,42.72,100,88,18.84
401,Iqaluit,63.75,-68.52,35.6,100,90,9.17
402,Buchanan,5.88,-10.05,75.3,100,92,7.2
403,New Port Richey,28.24,-82.72,87.08,74,90,6.93
404,Lipin Bor,60.26,37.97,34.71,100,44,13.69
405,Sosnogorsk,63.59,53.93,37.95,95,68,4.41
406,Hami,42.84,93.51,60.9,53,0,7.54
407,Te Anau,-45.41,167.72,51.0,98,56,3.51
408,Hornepayne,49.22,-84.78,29.67,89,0,5.75
409,Kastrakion,39.72,21.62,48.66,94,100,3.74
410,Nehe,48.48,124.88,58.65,66,8,14.03
411,Pando,-34.72,-55.96,57.2,100,0,5.82
412,Kautokeino,69.01,23.04,33.63,97,92,5.19
413,Zhigansk,66.77,123.37,36.42,94,0,4.52
414,Los Llanos de Aridane,28.66,-17.92,73.4,78,44,9.17
415,Kieta,-6.22,155.63,80.25,100,68,1.95
416,Waipawa,-39.94,176.59,58.92,58,56,10.22
417,Barentu,15.11,37.59,59.73,76,0,2.51
418,Trapani,38.02,12.54,64.4,77,0,3.36
419,Camacha,33.08,-16.33,71.6,78,75,12.75
420,Tarakan,3.3,117.63,81.96,97,64,5.41
421,Vercelli,45.33,8.42,59.0,71,0,4.7
422,Deer Lake,49.18,-57.43,48.2,81,40,6.93
423,Kipini,-2.53,40.53,74.04,100,92,12.57
424,Santa Maria,-29.69,-53.81,68.0,88,75,20.8
425,Sabha,27.03,14.43,63.69,86,0,7.43
426,Smolenka,54.15,22.76,41.73,87,0,12.8
427,Kincardine,56.07,-3.72,48.2,81,0,10.29
428,Burnie,-41.05,145.91,54.15,97,20,16.26
429,Dawson Creek,55.76,-120.23,33.8,55,90,4.7
430,Mahajanga,-15.72,46.32,73.4,69,20,4.7
431,Lac-Megantic,45.58,-70.88,48.2,93,75,5.64
432,Maumere,-8.63,122.22,85.65,91,8,0.94
433,Novobiryusinskiy,56.96,97.71,50.82,62,8,4.52
434,Soe,57.91,26.05,46.4,75,92,17.22
435,Hong Gai,20.96,107.09,82.77,77,0,7.43
436,Santa Ines,-0.82,-78.63,55.4,76,75,14.99
437,Corumba,-19.0,-57.65,80.7,61,88,5.08
438,Paamiut,61.99,-49.67,37.32,100,92,34.72
439,Namtsy,62.72,129.66,40.65,49,0,6.42
440,Lisakovsk,52.55,62.49,48.48,75,88,11.01
441,Portland,45.52,-122.67,62.06,77,90,5.82
442,Schruns,47.08,9.92,50.0,87,0,4.7
443,Poum,41.28,20.71,37.14,87,8,1.61
444,Muyezerskiy,63.93,31.65,36.24,92,44,7.54
445,Comodoro Rivadavia,-45.87,-67.48,44.6,48,0,11.41
446,Ayr,55.46,-4.63,51.8,66,40,16.11
447,Pamanukan,-6.28,107.82,82.23,100,0,8.77
448,Faanui,-16.48,-151.75,77.91,100,8,4.18
449,Sant Feliu de Guixols,41.78,3.03,57.2,100,20,5.82
450,Male,50.74,33.7,32.64,83,0,3.62
451,Igarka,67.47,86.57,42.9,89,32,13.8
452,Soubre,5.79,-6.61,72.42,100,80,2.73
453,Kendari,-3.99,122.52,85.02,66,80,4.63
454,Rio Gallegos,-51.62,-69.22,35.6,80,90,19.46
455,Markala,13.69,-6.07,71.52,92,0,2.06
456,Cherskiy,68.75,161.3,43.98,75,36,3.51
457,Ogbomosho,8.13,4.25,73.41,98,88,5.41
458,Mardin,37.32,40.72,82.4,49,0,11.41
459,Karakol,42.49,78.39,44.25,57,0,3.18
460,Merritt Island,28.54,-80.67,84.02,78,1,4.7
461,Tuy Hoa,13.08,109.3,80.25,100,80,4.52
462,Alugan,12.22,125.48,83.67,96,36,3.4
463,Dwarka,28.58,77.04,78.8,88,0,5.82
464,Athmallik,20.72,84.53,84.03,86,0,0.94
465,Naze,5.43,7.07,73.86,97,88,4.63
466,Kem,2.68,33.77,63.6,98,92,3.51
467,Sao Felix do Xingu,-6.64,-51.99,74.67,95,8,2.06
468,Dubti,11.74,41.09,65.76,46,0,2.62
469,Quesnel,52.98,-122.49,48.2,39,1,13.87
470,Oranjemund,-28.55,16.43,63.42,76,0,10.56
471,Smithers,54.78,-127.17,46.4,31,5,8.05
472,Getulio Vargas,-32.68,-53.55,67.74,98,92,4.63
473,Acurenam,1.03,10.67,70.98,99,92,2.51
474,Ballina,54.11,-9.15,46.32,100,76,9.44
475,Montepuez,-13.13,39.0,60.99,93,0,2.73
476,Kigali,-1.95,30.06,53.25,89,8,2.06
477,Dekar,-21.53,21.93,72.87,42,80,20.74
478,Pangody,65.85,74.49,41.37,91,88,10.56
